park_code,campground,total_sites,reservable,amenities,nps_url
kaww,Upper East Branch Campsite,1,False,Vault toilets|Tent sites,
kaww,Stair Falls Campsite,1,False,Tent sites,
kaww,Esker Campsite,1,False,Tent sites,
kaww,Katahdin Brook Lean-to,1,False,,
kaww,Wassataquoik Lean-to,1,False,,
kaww,Wassataquoik Campsite,1,False,Tent sites,
kaww,Big Seboeis Campsite,1,False,Tent sites,
kaww,Big Spring Brook Campsite,1,False,Tent sites,
kaww,Haskell Deadwater Campsite,1,False,Vault toilets|Tent sites,
kaww,Pond Pitch Campsite,1,False,Tent sites,
kaww,Grand Pitch Lean-to,1,False,Vault toilets,
kaww,Big Spring Brook Hut,1,False,Vault toilets,
kaww,Haskell Hut,1,False,Vault toilets,
kaww,Lunksoos Mountain Lean-To,1,False,Vault toilets|Potable water,
kefj,Exit Glacier Campground,12,False,Vault toilets|Potable water|Tent sites,
klgo,Dyea Campground,22,False,Vault toilets|Tent sites,https://www.nps.gov/klgo/planyourvisit/campgrounds.htm
klgo,Sheep Camp,27,False,Potable water|Tent sites,https://www.nps.gov/klgo/planyourvisit/sheep-camp.htm
klgo,Pleasant Camp,11,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/klgo/planyourvisit/pleasant-camp.htm
klgo,Finnegan's Point,6,False,Vault toilets|Potable water|Tent sites,https://www.nps.gov/klgo/planyourvisit/finnegans-point.htm
klgo,Canyon City,11,False,Potable water|Tent sites,https://www.nps.gov/klgo/planyourvisit/canyon-city.htm
labe,Indian Well Campground,43,False,Flush toilets|Potable water|Cell reception,https://www.nps.gov/labe/planyourvisit/campgrounds.htm
labe,Group Campsite,1,False,Vault toilets|Potable water|Tent sites|Cell reception,
lacl,NPS Priest Rock Public Use Cabin,0,False,,https://www.nps.gov/lacl/planyourvisit/priest-rock-cabin.htm
lake,Boulder Beach Campground,135,True,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10075120
lake,Boulder Beach Group Campground,5,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10048964
lake,Lake Mead RV Village,115,False,Electric hookups|RV friendly,https://lakemeadmohaveadventures.com/lake-mead-rv-village/
lake,Las Vegas Bay Campground,85,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10082283
lake,Callville Bay Campground,52,True,Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10068459
lake,Callville Bay RV Park,5,False,Electric hookups|RV friendly,https://callvillebay.com/lodging-rv-camp/
lake,Willow Beach Campground,9,False,Tent sites,https://willowbeachharbor.com/willow-beach-campground-and-rv-park/
lake,Cottonwood Cove Campground,45,False,Tent sites,https://cottonwoodcoveresort.com/lower-campground/
lake,Temple Bar Campground,71,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,https://www.recreation.gov/camping/campgrounds/10085626
lake,Echo Bay Campground,52,False,Flush toilets|Potable water|Dump station|Tent sites|Cell reception,
lake,Echo Bay RV Park,55,False,Electric hookups|RV friendly,https://lakemeadmohaveadventures.com/echo-bay-rv-village/
lake,Temple Bar RV Park,10,False,Electric hookups|RV friendly,https://templebarlakemead.com/rv-park-campground/
lake,Cottonwood Cove RV Park,72,False,Electric hookups|RV friendly,https://cottonwoodcoveresort.com/explore/lodging-rv-camp/
lake,Willow Beach RV Park,28,False,Electric hookups|RV friendly,https://willowbeachharbor.com/willow-beach-campground-and-rv-park/
lake,Katherine Landing Campground,173,False,Tent sites,https://katherinelanding.com/amenities/#camping
lake,Katherine Landing RV Park,24,False,Electric hookups|RV friendly,https://katherinelanding.com/amenities/#rv-camping
lamr,Fritch Fortress,15,False,Flush toilets|Showers|Potable water|Dump station|Cell reception,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Blue West Campground,30,False,Vault toilets,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Chimney Hollow Campground,15,False,,
lamr,Harbor Bay Campground,25,False,Vault toilets,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Cedar Canyon Campground,15,False,Flush toilets|Potable water,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,McBride Canyon and Mullinaw Creek Campgrounds,40,False,Vault toilets,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Plum Creek Campgrounds,45,False,Vault toilets,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Bugbee Canyon,10,False,Vault toilets,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Blue Creek,50,False,Vault toilets,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Rosita Flats,75,False,,https://www.nps.gov/lamr/planyourvisit/camping.htm
lamr,Sanford Yake Campground,51,False,,https://www.nps.gov/lamr/planyourvisit/camping.htm
laro,North Gorge Campground,12,True,Vault toilets|Tent sites|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-northgorge.htm
laro,Snag Cove Campground,9,True,Vault toilets|Cell reception,https://www.nps.gov/laro/planyourvisit/cg-snagcove.htm
